평점, 댓글
1,간단한 비염때문에 방문했는데 초음파검사등 4가지 검사유도하고 별다른 치료도 없었는데 진료비가 2만원 넘게 나옴. 후기 좋아서 방문했는데 간단한 비염정도면 동네의원방문 추천
5,의사선생님 말투도 친절하시고 진료도 잘 봐줍니다 얘기 잘 들어주시고 세심하시고 여쭤보는 거 답도 성의있게 해주세요 그리고 왜 아픈건지 어떻게 낫는지 자세히 설명해주셔서 안심되고 좋았어요!! 간호사분들도 요즘같은 시국에 사람 많고 해서 힘드실 텐데 내색 하나 없이 정말 친절하세요 병원은 안 오는 게 제일 좋지만 또 아프면 여기로 올 거예요 너무너무 좋아요
5,굳굳
5,원장님도 간호사님들도 친절해요 ㅎㅎ
5,진료 잘 봐주시네요~
5,친절해서 좋아요
2,코로나 회복센터라고 해서 멀리서 찾아갔는데 의사선생님께 증상을 설명해도 아무 문제 없다고 제가 꾀병이라는 투로 얘기하셔서 실망했어요.... 그냥 대학병원 가는 게 나을 것 같아요 
5,원장님도 간호사님들도 친절해요 ㅎㅎ
5,진료 잘 봐주시네요~
5,친절해서 좋아요
2,코로나 회복센터라고 해서 멀리서 찾아갔는데 의사선생님께 증상을 설명해도 아무 문제 없다고 제가 꾀병이라는 투로 얘기하셔서 실망했어요.... 그냥 대학병원 가는 게 나을 것 같아요 
5,동네에서 젤 좋음
5,"비중격만곡증이라는 거를 제대로 모르고 고생만 하다가 여기 다니고 광명 찾아서 리뷰까지 남겨요 너무너무 스트레스 받고 숨 쉬기도 힘들고 자기 전에 더 힘들고 특히 봄가을엔 말 할 것도 없구요.. 그랬는데 여기서 코내시경이랑 ct 검사 제대로 받고 비중격만곡증 수술이라는 게 있어서 수술까지 했어요 수술이라 걱정 많았는데 생각보다 금방 끝나는 거였고, 다만 회복..."
1,간단한 비염때문에 방문했는데 초음파검사등 4가지 검사유도하고 별다른 치료도 없었는데 진료비가 2만원 넘게 나옴. 후기 좋아서 방문했는데 간단한 비염정도면 동네의원방문 추천
5,의사선생님 말투도 친절하시고 진료도 잘 봐줍니다 얘기 잘 들어주시고 세심하시고 여쭤보는 거 답도 성의있게 해주세요 그리고 왜 아픈건지 어떻게 낫는지 자세히 설명해주셔서 안심되고 좋았어요!! 간호사분들도 요즘같은 시국에 사람 많고 해서 힘드실 텐데 내색 하나 없이 정말 친절하세요 병원은 안 오는 게 제일 좋지만 또 아프면 여기로 올 거예요 너무너무 좋아요
5,굳굳
5,동네에서 젤 좋음
5,"비중격만곡증이라는 거를 제대로 모르고 고생만 하다가 여기 다니고 광명 찾아서 리뷰까지 남겨요 너무너무 스트레스 받고 숨 쉬기도 힘들고 자기 전에 더 힘들고 특히 봄가을엔 말 할 것도 없구요.. 그랬는데 여기서 코내시경이랑 ct 검사 제대로 받고 비중격만곡증 수술이라는 게 있어서 수술까지 했어요 수술이라 걱정 많았는데 생각보다 금방 끝나는 거였고, 다만 회복..."
1,간단한 비염때문에 방문했는데 초음파검사등 4가지 검사유도하고 별다른 치료도 없었는데 진료비가 2만원 넘게 나옴. 후기 좋아서 방문했는데 간단한 비염정도면 동네의원방문 추천
5,의사선생님 말투도 친절하시고 진료도 잘 봐줍니다 얘기 잘 들어주시고 세심하시고 여쭤보는 거 답도 성의있게 해주세요 그리고 왜 아픈건지 어떻게 낫는지 자세히 설명해주셔서 안심되고 좋았어요!! 간호사분들도 요즘같은 시국에 사람 많고 해서 힘드실 텐데 내색 하나 없이 정말 친절하세요 병원은 안 오는 게 제일 좋지만 또 아프면 여기로 올 거예요 너무너무 좋아요
5,굳굳
5,원장님도 간호사님들도 친절해요 ㅎㅎ
5,진료 잘 봐주시네요~
5,친절해서 좋아요
2,코로나 회복센터라고 해서 멀리서 찾아갔는데 의사선생님께 증상을 설명해도 아무 문제 없다고 제가 꾀병이라는 투로 얘기하셔서 실망했어요.... 그냥 대학병원 가는 게 나을 것 같아요 
2,친구랑 같이 코로나 검사 받으러 들렸는데 좀 이상한 직원이 안내하더구요. 강남구 이비인후과 유명 병원 이라서 들렸는데....
5,"제가 갔을 땐 대기가 좀 있긴 했지만 그만큼 유명한 거라고 생각......ㅎㅎ데스크 안내부터 친절하게 잘 해주시고 좋아요 목,코 감기가 안 떨어져서 갔는데 단순 감기라고 건성으로 하시지 않고(그런 곳 많더라구요) 더 궁금한 거 없냐고도 물어보시고 굉장히 인상이 좋았습니다 앞으로도 여기로 올 것 같네요 동네에 이런 병원 있어서 참 다행입니다~ 애기 아파도 여..."
5,진료 잘 봐줍니다
5,원장님 무지 친절하세요
5,딱히 불만 없이 좋네요 별 다섯개입니다
2,친구랑 같이 코로나 검사 받으러 들렸는데 좀 이상한 직원이 안내하더구요. 강남구 이비인후과 유명 병원 이라서 들렸는데....
5,"제가 갔을 땐 대기가 좀 있긴 했지만 그만큼 유명한 거라고 생각......ㅎㅎ데스크 안내부터 친절하게 잘 해주시고 좋아요 목,코 감기가 안 떨어져서 갔는데 단순 감기라고 건성으로 하시지 않고(그런 곳 많더라구요) 더 궁금한 거 없냐고도 물어보시고 굉장히 인상이 좋았습니다 앞으로도 여기로 올 것 같네요 동네에 이런 병원 있어서 참 다행입니다~ 애기 아파도 여..."
5,진료 잘 봐줍니다
5,원장님 무지 친절하세요
5,딱히 불만 없이 좋네요 별 다섯개입니다
5,비염 때문에 별거별거 다해봤는데 하나이비인후과 다닌 뒤로 진짜 좋아졌어요 알레르기 처방약도 뭐가 다른진 모르겠지만 저한테 잘 들으니 그게 최고겠죠 ㅎㅎ여기 병원도 크고 수술도 이것저것 하는 것 같더라고요 그만큼 검사도 잘 해주고 믿음이 갑니다 원장쌤 아주아주 진료 잘 봐주시고 데스크 직원분들이나 전체적으로 다들 친절하셔서 갈 때마다 기분이 좋네요^^ 동네에...
5,병원들 대충대충 해주고 다 비슷한 것 같은데 여기는 원장님이 진짜 세심하게 봐주시고 제 얘기도 흘려듣지 않고 귀 기울여 들어주셔서 정말 좋습니다 진료도 물론 잘 봐주셨고 설명을 자세히 해주셔서 답답한 게 풀렸어요 무엇보다 여기 다니면서 많이 좋아져서 그것만으로도 최고입니다 처방받은 약 먹으니까 다른 병원 다닐 때보다 훨씬 빠르게 좋아졌어요 저는 감기로 오긴...
5,항상 요기로 와요 짱짱!
5,깨끗하고 좋네요 근처에서 제일 나은 것 같아요
5,진료 잘 봐주시고 넘넘 친절해요~~
5,친절하고 꼼꼼합니다
5,아침9시에 가도 사람이 꽤 많은데 엄청 체계적으로 사람들 통제해서 편했음 의료진분들도 친절하시구
5,"수면다원검사 알아보다가 하나이비인후과까지 오게 됐는데요 불면증이 너무 심해서 몇 년을 못잤는데 검사 받고 치료 받으니까 잠도 잘오고, 확실히 컨디션도 좋아졌어요"
5,짱
5,코로나 검사 때문에 갔는데 사람은 많은데 우왕좌왕하지 않게 체계적으로해서 줄도 금방 줄어들고 편하게 쉽게 다녀왔습니다!
5,과잉진료 없어서 좋습니다
5,사람이 많긴해도 회전율이 빨라서 대기가 그리 길진 않더라고요~~~~
5,"원래 리뷰 잘 안 남기는데, 치료 실력 만큼은 여기가 원탑인 듯 해요 부비동염 때문에 오랜 기간 고생했는데 다른 병원을 다녀도 차도가 없었거든요 추천 받고 오게 됐는데 싹 없어졌어요 최고…"
5,치료 잘 받았습니다
5,비염치료 여기가 최고인 거 같아요
5,"역이랑 멀지도 않고, 웬만한 치료 다 가능해서 쭉 다니고 있어요"
5,바쁜데도 친절한 원장님 ^^
5,"유명해서 멀어도 왔는데, 이름 값 해요 ㅎㅎ 굳"
1,"뭐 이딴 데가 다 있는지^^ 제가 안 들려서 ""뭘로 찾아왔다고 하면 된다구요?"" 하니까 한숨 쉬면서 ""축농증으로 찾아온다고 하지 않으셨어요"" 이러네요^^ 네^^ 저 따위로 간호사가 짜증내는 병원은 다시는 안 갑니다^^ 별 1개도 아깝네요^^"
1,불친절 
5,"역이랑 멀지도 않고, 웬만한 치료 다 가능해서 쭉 다니고 있어요"
5,바쁜데도 친절한 원장님 ^^
5,"유명해서 멀어도 왔는데, 이름 값 해요 ㅎㅎ 굳"
1,"뭐 이딴 데가 다 있는지^^ 제가 안 들려서 ""뭘로 찾아왔다고 하면 된다구요?"" 하니까 한숨 쉬면서 ""축농증으로 찾아온다고 하지 않으셨어요"" 이러네요^^ 네^^ 저 따위로 간호사가 짜증내는 병원은 다시는 안 갑니다^^ 별 1개도 아깝네요^^"
1,불친절 
5,친절하고 꼼꼼합니다
5,아침9시에 가도 사람이 꽤 많은데 엄청 체계적으로 사람들 통제해서 편했음 의료진분들도 친절하시구
5,"수면다원검사 알아보다가 하나이비인후과까지 오게 됐는데요 불면증이 너무 심해서 몇 년을 못잤는데 검사 받고 치료 받으니까 잠도 잘오고, 확실히 컨디션도 좋아졌어요"
5,짱
5,코로나 검사 때문에 갔는데 사람은 많은데 우왕좌왕하지 않게 체계적으로해서 줄도 금방 줄어들고 편하게 쉽게 다녀왔습니다!
5,친절하고 꼼꼼합니다
5,아침9시에 가도 사람이 꽤 많은데 엄청 체계적으로 사람들 통제해서 편했음 의료진분들도 친절하시구
5,"수면다원검사 알아보다가 하나이비인후과까지 오게 됐는데요 불면증이 너무 심해서 몇 년을 못잤는데 검사 받고 치료 받으니까 잠도 잘오고, 확실히 컨디션도 좋아졌어요"
5,짱
5,코로나 검사 때문에 갔는데 사람은 많은데 우왕좌왕하지 않게 체계적으로해서 줄도 금방 줄어들고 편하게 쉽게 다녀왔습니다!
5,과잉진료 없어서 좋습니다
5,사람이 많긴해도 회전율이 빨라서 대기가 그리 길진 않더라고요~~~~
5,"원래 리뷰 잘 안 남기는데, 치료 실력 만큼은 여기가 원탑인 듯 해요 부비동염 때문에 오랜 기간 고생했는데 다른 병원을 다녀도 차도가 없었거든요 추천 받고 오게 됐는데 싹 없어졌어요 최고…"
5,치료 잘 받았습니다
5,비염치료 여기가 최고인 거 같아요
5,"역이랑 멀지도 않고, 웬만한 치료 다 가능해서 쭉 다니고 있어요"
5,바쁜데도 친절한 원장님 ^^
5,"유명해서 멀어도 왔는데, 이름 값 해요 ㅎㅎ 굳"
1,"뭐 이딴 데가 다 있는지^^ 제가 안 들려서 ""뭘로 찾아왔다고 하면 된다구요?"" 하니까 한숨 쉬면서 ""축농증으로 찾아온다고 하지 않으셨어요"" 이러네요^^ 네^^ 저 따위로 간호사가 짜증내는 병원은 다시는 안 갑니다^^ 별 1개도 아깝네요^^"
1,불친절 
5,"역이랑 멀지도 않고, 웬만한 치료 다 가능해서 쭉 다니고 있어요"
5,바쁜데도 친절한 원장님 ^^
5,"유명해서 멀어도 왔는데, 이름 값 해요 ㅎㅎ 굳"
1,"뭐 이딴 데가 다 있는지^^ 제가 안 들려서 ""뭘로 찾아왔다고 하면 된다구요?"" 하니까 한숨 쉬면서 ""축농증으로 찾아온다고 하지 않으셨어요"" 이러네요^^ 네^^ 저 따위로 간호사가 짜증내는 병원은 다시는 안 갑니다^^ 별 1개도 아깝네요^^"
1,불친절 
5,"""주변인들에게 추천하는 편도절제공장""  -편도때문에 그동안 매우 고생을해서 유명하다고 한 하나이비인후과에서 내돈내산 수술을 했음.  -우선 전화예약은 뒤지게 힘들기때문에 그냥 전화기가 병원에 없다고 생각하면됨. 예약하시려면 온라인예약 혹은 시간표 확인 후 아침일찍 방문해서 당일예약잡고 진료보는 것을 적극 추천 -보통 유명한 명의는 무뚝뚝하고 손님 말 듣는둥..."
5,비염원인을 몰랐는데 검사받아 보니까 비중격이 휘어져 있대요… ㅠㅠ 친절하게 잘 알려주셔서 감사했습니다~
5,"솔직히 말하면 대기는 있는 편인데 의사 선생님이랑 상담 들어가면 저한테 되게 집중해주시는 게 느껴지고, 또 꼼꼼히 잘 봐주셔서 계속 오게 되는 거 같아요"
4,"저랑 이 병원이 잘맞는 건지, 하나이비인후과에서 처방받은 약만 먹으면 코감기가 엄청 빨리 나아요 ㅋㅋㅋㅋㅋ"
5,병원에 들어가서 진료까지 시간이 다소 길긴 했지만 철저한 방역조치로 인한 부분인걸 이해하고 나니 오히려 더 안심이 됐습니다.
5,모두들 친절하시고 진료 잘해주셔서 감사합니다.
5,"이쪽에서 1차,2차 맞았는데 좋아요"
5,병원이 깔끔하고 좋아요
5,원장님 너무 설명잘해주시고 친절해요!
1,공장
1,의사가 무능력합 비중격만곡증있어서 예약하고 갔더니 수술을 해도 좋고 안해도 좋고... 이딴소리나 하고 앉아있음 ㅋㅋㅋ 거기다가 뭔 쓸데없는 검사를 그렇게 많이시키는지 어차피 실비보험 청구해서 상관없긴 하지만 환자 돈 뜯어 먹으려고 눈에 불키는거 같음 ㅋㅋㅋㅋ 기다리더라도 대학병원 가세요 제발~~~~~~~~~~~~~~~
4,매번 치료받으러 가는곳.. 원장님 친절하게 잘봐주시고 증상도 빨리 호전되는 거 같아요
1,이 병원 최악입니다.  축농증  수술  비싸게  받아먹고  수술도  제대로  안해주고 설명도  안해주고  불친절하고  진심  으로  최악입니다. 개 양아치 병원의  의사들 / 수술 잘 되었나  확인하자고  ct  찍어보자고  하니  성내면서  쫒아내는  병원/ 아울러  충남 내포의  하나 이비인후과  거기출신  개 양아치임  절대  가지마세요  코속에  검...
1,간호사분들 진짜 불친절
1,"직원 개개인은 어느 정도 친절한 편이긴 한데, 직원은 많은데 업무 소통이 서로 너무 안 돼서 환자가 매번 일일히 설명해야하는 일이 많음. 하루에 최대 같은 건으로 4번까지 말한 적 있음(ct촬영 등).  소통이 안되고 정신 없다보니 실수도 나오는데, 환자가 말하기 전까지는 실수했다는 사실 조차 모르는 편이고, 그 이후에도 전혀 인계가 안 되어서 다른 직원이..."
5,다들 친절해요
5,원장님 친절하게 설명해주셔서 좋았어요
4,일반진료였는데 원장님 친절하셨어요
5,안녕하세요 
5,코감기인줄 알고 방문했는데 감기가 아니고 비염이었어요.무튼 원장님께서 설명도 잘해주시고 친절해서 기분좋게 진료받았습니다~ 앞으로 자주 갈거같아요
3,간호사 한분 열재는거 대충 설명해주는거 대충 귓속에 정확히 집어넣고 재야하는데 넣지도않고 그냥 귀에 갖다대고 36.5도 정상입니다 이랬나 몸속이랑 머리랑 열나서 아파죽겠는데 약처방도 앞손님 2명이랑 같음 마음에 안들어서 다른곳가려다가 시간없어서 약먹고 일주가량 집에서 푹쉬었는데 차도가 1도 안보여서 다른곳가서 하루만에 완치 그래도 의사쌤은 친절하고 꼼꼼히 ...
5,간호사분들 너~~~~~무 친절해요
5,전반적으로 다 친절하심. 다만 사람이 많아서 예약하고 가도 한 30분정도는 대기해야함(토요일기준임) 시설도 깔끔함.
5,어릴때부터 몽유병도 살짝 있었고 커서는 잠꼬대랑 코골이가 너무 심해 고생을 많이 했는데 치료 받고 정말 많이 좋아졌습니다. 군 입대 하기 전에 미리 치료 받았었으면 갈굼을 덜 당했었을텐데..ㅋㅋ
5,"최근에 친구가 저보고 코골이가 심하다고해서 알아보고 갔었는데요, 나름대로 좋은 말씀해주시고, 친절하게 상담해주셔서 만족스러웠습니다! 엄마도 추천해줄까 고민중이에용:-)"
5,친구들이랑 놀러갈 때 항상 코골이 때문에 욕을 엄청 먹어서 코슬립수면의원에 갔는데 의사분과 직원 분들이 친절하게 설명을 해주시고 해결 방안을 제시해 주시더라고요! 그래서 저는 바로 예약했습니다!
5,꽤 어렸을 적부터 코골이도 심하고 잠을 자도 너무 피곤했는데 진작 코슬립수면의원을 방문할 걸 그랬어요ㅠㅠ요즘은 잠도 너무 푹자고 생활이 참 편해졌어요ㅋㅋㅋ의사쌤이랑 간호사분들도 저는 친절하고 참 좋았습니다
5,이승철 원장님 진료 잘 봐주세요~ 걱정하는 부분에 대해서 질문도 성의있게 들어주십니다. 감사했습니다!
1,돈에눈이멀어 환장함 의사로서의 환자에 책임을 다하려하지않고 문제에 회피하기 급급하고 책임지려하지않음 문제가생기면 지탓아니라고함 *오진*해놓고 당당한 놈들임
5,다 친절하시고 과잉진료도 안 하세요
5,별점 하나가 많아 이렇게 글을 써요... 마음에 안들수도 있고 궁금증을 속 시원하게 해결하기엔 이 병원은 하루에 맡는 환자수가 많은건 사실 입니다. 진짜 대기 시간 길어요. 예약해도 줄은 서야됩니다 저는 다른 병원에서 추천해서 이 곳을 찾았고 한쪽 귀가 거의 90세 급의 청력인데(그냥..안들려요) 청력 복원수술을 여기서 진행 하였습니다 평생 안될꺼라는 얘기...
5,"여기 댓글에 불만을 표시한분들 많네요. 존중합니다. 의견은 다 다를수있으니까. 그러나 귀 질환에 있어서 제대로된 진단을 받으려면 대학병원외에 이만한 곳이 있나 싶네요.. 기본적으로 청력검사할때 귀의 압력, 뇌파, 동네병원에서는 상상도 할수없는 다양한 청력검사 프로토콜 등등 보면, 돈좀 더주고라도 최소 검진만큼은 이병원에서 받으렵니다. 전."
1,"귀에서 열이나고 너무 아파서 예약없이 내원했습니다. 평일오전이었고 30~40분 정도 대기 후 진료실에 들어갔습니다.  귀를 보시더니 염증이 심한것도 아닌데 굳이 병원을 왜 왔냐는 식으로 얘기를 했습니다.  약을 먹어도 전혀 나아지지 않아서 이틀 뒤 다른 이비인후과에 갔는데, 염증이 심하다고 합니다..    주변에 다른 이비인후과도 있으니 잘 생각해보고 결정..."
1,"별하나도 아깝다. ""어차피 난청은 치료가 어렵고 우린 치료 대충해도 돈벌고"" 아까운 시간을 여기서 보내다니 원통하다."
1,난청 및 메니에르 의심되어 여러번 방문 했는데 여러 검사 후 난청 원인은 알 수 없고 메니에르 일리는 없다는 대답만 받았습니다만... 대학 병원 서 바로 메니에르 확진 판정 받았습니다.
5,이석증으로 방문했습니다. 상담도 검사도 간호사분 치료사분도 친절하십니다. 사실 리뷰좀 안좋은것들도 있어서 긴가민가.. 고민했는데요;  저는 이석증의 증상이 너무나 명확해서 간단한 검사만 받고 한번에 치료했습니다.  검사를 많이 권하는경우엔.. 타협점을 찾아보세요.. 저도 처음에 11만원 검사 권했다가 상담 다시받고 보험 가능한 4만원짜리 검사 했습니다. 다...
2,"장점 1.청각사, 간호사 분들 모두 친절합니다.  2.토요일 오전에 예약하고 갔더니 대기시간 짧았고 금새 진료봤습니다.   3.주차시설이 잘되어있습니다. (주차비 2000원) 4.시설이 전체적으로 깨끗하다는 느낌이 듭니다.  단점 1. 진로내내 인터넷 속설을 믿지말고 귀에 신경쓰지 말라며 훈계를 받는 듯 해 황당했습니다. 인터넷 속설 의사분께 꺼낸적도, 믿..."
1,배짱 영업 하지 마세요.! 한쪽 귀가 간혹 고지대 올라 가면 먹먹 해지는 증상이 나타나곤 합니다. 다니던 병원에서 의뢰서을 받아 소리병원을 소개하여 가게 되었습니다.   토요일 오전 11시 40분무렵 출발 날씨 37도 올 여름 최고 폭염 불쾌지수 .. 그래도 부푼 희망을 갖고 땀 삐질삐질 흘려가며 가는데 왜 이리도 차가 막히는지 오후 12시13분 병원에 전...
2,귀만 진료합니다
1,이명때문에 갔는데 실컷 설명다했더니 검사끝나고 다시 의사만나니 처음듣는 말이라고하지 않나 비싼검사 다했더니 걷고 운동하라는 의견만 내질않나 그럴꺼면 그 비싼검사는 왜하는지 참 답답한 병원이구만
1,의사 후기 안좋길래 걱정하고갔는데 진짜 1진료실 안경쓴 의사라기도 하기 싫은 그 사람 ;; 반말 찍찍 쓰고 목이랑 코 검사해놓고 결과도 얘기안해줌 그냥 약 준다는 말이 끝. 다시는 안간다.  
5,키오스크 있고 신속항원검사 빠르게 돼서 너무좋아요 근데 결과가 5분만에 문자로와서 찜찜해요 코쑤시규 10분은 걸리지않아요...?
1,간호사들은 친절한데 1진료실 뚱땡이 남자 의사가 반말 무개념 ㅆㅏ가지인 곳. 갈때마다 10초도 안되서 대충 진료하고 무조건 비싼거 권유함
1,ㅋㅋㅋ다른분들 말씀처럼 불친절해요
1,오후 4시에 여기서 코로나 음성 뜨고 찜찜해서 다시 그날 저녁 7시에 진료소 가서 pcr 했는데 양성뜸. 종합 운동장 선별 진료소 가서 가족이 확진자고 본인도 증상 있다고 하면 별도 체크 안하고 무료로pcr 해주니 그냥 그거 받으세요. 
1,코로나 확진 판정 받으면 약 무료인데 약국에서는 확진이라는 처방전 받아야한다하고 병원에서는 처방전 미리주고 검사결과는 문자로만 준다하고 기다리지말라함;;  밖에서 기다리겠다하는데도 안된다고 가라함  병원에서 검사 바로 안알려주는곳은 처음봄;;
1,출국용 피씨알 미결정 주는건 뭐임 돈독오른병원. 다른병원 당일검사 음성임.  심지어 양성환자 개많아서 여기서 걸리겠음.  절대 가지 마시길
1,8시까지 진료라고 써있지만 원장님 퇴근하셨다고 내보냄 멀쩡히 대기환자는 진료봄  야간진료 안하면 써놓지 마세요 
1,"다좋은데 키작은 연세있는 아이라인찐한 간호사 진짜 짜증나네요 진료 안끝났는데(항생제 먼저 논대서 맞은 상태) 점심시간 2분 남았다고 점심시간이라고 내일 오란다.(의사가 항생제 맞고 쨀수도 있고 안 쨀수도 있다고 말해서 내가 물어보는건데도) 그냥 째야되냐 마냐 몇초만 봐주시면 된다고 안되는지 "" 여쭤봤는데"" 뭐가 그리 급한지 대뜸 안돼고요. 이따 점심시간 끝..."
1,의사는 초면에 반말 찍찍… 괜히 갔다가 기분만 잡쳤네요 ㅋㅋ리뷰를 먼저 봤어야 됐는데… 다들 똥 피하세요!! 너는 인성교육 먼저 받아라~~
5,간호사님들 의사님 모두 친절하세요!!
